Gene stable ID	Gene name	Protein stable ID
ENSDARG00000063006	cacng7a	ENSDARP00000086128
ENSDARG00000063006	cacng7a	ENSDARP00000122486
ENSDARG00000097115	si:dkey-27l15.1	ENSDARP00000127929
ENSDARG00000097115	si:dkey-27l15.1	ENSDARP00000129454
ENSDARG00000055560	p2ry8	ENSDARP00000116348
ENSDARG00000099099		
ENSDARG00000099099		
ENSDARG00000099099		
ENSDARG00000024771	slc24a5	ENSDARP00000030499
ENSDARG00000052846	fsta	ENSDARP00000122591
ENSDARG00000052846	fsta	ENSDARP00000051064
ENSDARG00000092855	srbd1	ENSDARP00000116398
ENSDARG00000092855	srbd1	ENSDARP00000136938
ENSDARG00000014024	ms4a17a.4	ENSDARP00000076558
ENSDARG00000100531	abhd14b	ENSDARP00000135162
ENSDARG00000101319	si:ch73-299h12.6	ENSDARP00000132169
ENSDARG00000055445	slc22a15	ENSDARP00000072270
ENSDARG00000055445	slc22a15	
ENSDARG00000089750	si:dkey-26g8.5	ENSDARP00000096850
ENSDARG00000078529	adgrb1b	
ENSDARG00000078529	adgrb1b	ENSDARP00000144202
ENSDARG00000078529	adgrb1b	ENSDARP00000113424
ENSDARG00000094550	si:dkey-103k4.3	
ENSDARG00000091169	tor4ab	ENSDARP00000071713
ENSDARG00000091169	tor4ab	ENSDARP00000155412
ENSDARG00000052010	ciao2b	ENSDARP00000068224
ENSDARG00000052010	ciao2b	ENSDARP00000142960
ENSDARG00000052010	ciao2b	ENSDARP00000107862
ENSDARG00000052010	ciao2b	ENSDARP00000148200
ENSDARG00000098075	sh3bgrl3	ENSDARP00000131054
ENSDARG00000093164	si:rp71-23d18.8	ENSDARP00000114206
ENSDARG00000093780	si:ch211-212c13.6p	
ENSDARG00000069595	prr36a	ENSDARP00000124382
ENSDARG00000069595	prr36a	ENSDARP00000117940
ENSDARG00000093621	si:dkey-27b3.4	ENSDARP00000120864
ENSDARG00000093621	si:dkey-27b3.4	ENSDARP00000118008
ENSDARG00000045070	itgb3b	ENSDARP00000124950
ENSDARG00000045070	itgb3b	ENSDARP00000023822
ENSDARG00000055901	steap4	ENSDARP00000118847
ENSDARG00000093608	ccl34b.1	
ENSDARG00000093608	ccl34b.1	ENSDARP00000136441
ENSDARG00000093608	ccl34b.1	ENSDARP00000116086
ENSDARG00000023111	plg	ENSDARP00000115432
ENSDARG00000023111	plg	ENSDARP00000045815
ENSDARG00000020197	rpl5a	ENSDARP00000006085
ENSDARG00000040930	deptor	ENSDARP00000123498
ENSDARG00000040930	deptor	ENSDARP00000059983
ENSDARG00000040930	deptor	ENSDARP00000116440
ENSDARG00000040930	deptor	ENSDARP00000140798
ENSDARG00000099685	gnb5a	
ENSDARG00000099685	gnb5a	ENSDARP00000140306
ENSDARG00000051729	nfatc3b	ENSDARP00000120657
